TimeStamp,Water_elev,Water_temp
7/4/2021 13:45:00,489.75,55.94
7/4/2021 14:00:00,489.76,55.94
7/4/2021 14:15:00,489.78,56.12
7/4/2021 14:30:00,489.77,56.3
7/4/2021 14:45:00,489.78,56.3
7/4/2021 15:00:00,489.79,56.48
7/4/2021 15:15:00,489.76,56.48
7/4/2021 15:30:00,489.76,56.66
7/4/2021 15:45:00,489.76,56.66
7/4/2021 16:00:00,489.77,56.84
7/4/2021 16:15:00,489.77,57.02
7/4/2021 16:30:00,489.76,57.2
7/4/2021 16:45:00,489.77,57.2
7/4/2021 17:00:00,489.76,57.38
7/4/2021 17:15:00,489.77,57.56
7/4/2021 17:30:00,489.76,57.56
7/4/2021 17:45:00,489.75,57.74
7/4/2021 18:00:00,489.78,57.74
7/4/2021 18:15:00,489.78,57.74
7/4/2021 18:30:00,489.76,57.92
7/4/2021 18:45:00,489.76,57.92
7/4/2021 19:00:00,489.76,57.92
7/4/2021 19:15:00,489.76,57.92
7/4/2021 19:30:00,489.77,57.92
7/4/2021 19:45:00,489.76,57.92
7/4/2021 20:00:00,489.77,57.92
7/4/2021 20:15:00,489.77,57.74
7/4/2021 20:30:00,489.76,57.74
7/4/2021 20:45:00,489.77,57.74
7/4/2021 21:00:00,489.77,57.56
7/4/2021 21:15:00,489.77,57.56
7/4/2021 21:30:00,489.75,57.56
7/4/2021 21:45:00,489.76,57.38
7/4/2021 22:00:00,489.75,57.38
7/4/2021 22:15:00,489.75,57.2
7/4/2021 22:30:00,489.73,57.2
7/4/2021 22:45:00,489.75,57.2
7/4/2021 23:00:00,489.75,57.02
7/4/2021 23:15:00,489.75,57.02
7/4/2021 23:30:00,489.76,57.02
7/4/2021 23:45:00,489.77,56.84
7/5/2021 0:00:00,489.76,56.84
7/5/2021 0:15:00,489.76,56.66
7/5/2021 0:30:00,489.76,56.66
7/5/2021 0:45:00,489.75,56.48
7/5/2021 1:00:00,489.76,56.48
7/5/2021 1:15:00,489.75,56.3
7/5/2021 1:30:00,489.75,56.12
7/5/2021 1:45:00,489.74,56.12
7/5/2021 2:00:00,489.76,55.94
7/5/2021 2:15:00,489.76,55.94
7/5/2021 2:30:00,489.75,55.76
7/5/2021 2:45:00,489.76,55.76
7/5/2021 3:00:00,489.76,55.76
7/5/2021 3:15:00,489.75,55.58
7/5/2021 3:30:00,489.77,55.58
7/5/2021 3:45:00,489.74,55.4
7/5/2021 4:00:00,489.76,55.4
7/5/2021 4:15:00,489.72,55.4
7/5/2021 4:30:00,489.75,55.22
7/5/2021 4:45:00,489.75,55.22
7/5/2021 5:00:00,489.76,55.22
7/5/2021 5:15:00,489.74,55.04
7/5/2021 5:30:00,489.74,55.04
7/5/2021 5:45:00,489.74,55.04
7/5/2021 6:00:00,489.74,54.86
7/5/2021 6:15:00,489.74,54.86
7/5/2021 6:30:00,489.75,54.86
7/5/2021 6:45:00,489.75,54.86
7/5/2021 7:00:00,489.75,54.86
